pid,prf_class,prf_device,prf_first_login,prf_pn_status,prf_stop_comms
1,moderate,ios,5,disabled,False
2,passive,ios,1,enabled,False
3,passive,android,7,enabled,False
4,moderate,ios,6,enabled,False
5,high_engager,ios,3,enabled,False
6,moderate,ios,13,enabled,True
7,moderate,ios,13,enabled,False
8,passive,ios,10,unknown,False
9,passive,android,11,enabled,False
10,moderate,ios,6,enabled,False
11,moderate,ios,9,enabled,False
12,moderate,android,1,enabled,False
13,high_engager,ios,4,enabled,False
14,moderate,android,6,disabled,False
15,passive,ios,12,enabled,False
16,passive,ios,2,enabled,False
17,passive,ios,7,enabled,False
18,moderate,ios,6,enabled,False
19,moderate,android,0,enabled,False
20,high_engager,ios,2,enabled,False
21,passive,android,4,disabled,False
22,moderate,android,0,disabled,False
23,moderate,ios,11,enabled,False
24,moderate,android,13,enabled,False
25,high_engager,android,11,disabled,False
26,moderate,ios,10,enabled,False
27,moderate,ios,9,enabled,True
28,high_engager,android,12,enabled,False
29,moderate,ios,6,enabled,False
30,passive,ios,3,enabled,False
31,moderate,ios,4,enabled,False
32,moderate,ios,7,disabled,False
33,moderate,ios,3,enabled,False
34,moderate,android,5,disabled,False
35,high_engager,android,2,enabled,False
36,passive,ios,4,enabled,False
37,passive,ios,9,enabled,False
38,passive,android,7,enabled,False
39,moderate,android,6,enabled,False
40,moderate,android,13,disabled,False
41,moderate,ios,10,enabled,False
42,passive,ios,5,enabled,False
43,passive,ios,3,enabled,False
44,moderate,android,3,disabled,False
45,passive,ios,1,enabled,False
46,moderate,android,0,enabled,False
47,passive,ios,2,enabled,True
48,passive,android,0,enabled,False
49,passive,android,10,disabled,False
50,moderate,ios,6,enabled,False
51,moderate,ios,7,unknown,False
52,high_engager,ios,8,disabled,False
53,moderate,ios,5,disabled,False
54,passive,ios,11,enabled,True
55,moderate,ios,1,disabled,False
56,moderate,ios,4,enabled,False
57,moderate,android,7,disabled,False
58,moderate,ios,9,enabled,False
59,high_engager,ios,7,enabled,False
60,passive,android,0,enabled,False
61,high_engager,ios,3,enabled,False
