pid,last_login_offset,reg_days_since_quit,sms_seq,reengaged
6,4,53.0,1,0
7,28,14.0,0,0
18,4,95.0,1,0
22,24,124.0,0,0
30,15,13.0,1,0
31,5,63.0,0,0
33,4,179.0,0,0
34,7,61.0,1,0
35,16,56.0,0,0
36,6,50.0,1,0
42,24,48.0,0,0
46,7,136.0,0,0
59,0,131.0,1,0
64,8,76.0,1,0
66,7,130.0,1,1
69,29,47.0,1,0
71,22,99.0,0,0
72,6,149.0,0,0
76,8,70.0,1,1
78,14,147.0,1,0
109,12,179.0,0,0
116,17,174.0,0,0
117,26,19.0,1,0
122,5,168.0,1,1
126,29,80.0,0,0
138,1,48.0,0,0
140,13,68.0,1,1
142,12,157.0,1,0
148,14,120.0,1,0
152,23,62.0,0,0
153,2,107.0,0,0
156,13,57.0,0,0
158,26,85.0,1,0
160,1,77.0,1,0
166,22,82.0,1,0
168,28,10.0,1,0
169,8,151.0,0,0
171,17,86.0,0,0
175,3,43.0,1,0
176,3,93.0,0,0
178,19,143.0,1,0
179,23,108.0,1,0
180,9,16.0,0,0
183,8,172.0,0,0
186,11,33.0,0,0
187,3,167.0,0,0
191,5,108.0,0,0
192,25,12.0,0,0
196,28,90.0,0,0
197,28,151.0,0,0
206,4,175.0,1,0
208,16,6.0,0,0
211,24,88.0,0,0
215,28,72.0,0,0
216,9,62.0,1,0
218,10,43.0,1,1
243,22,161.0,1,0
253,0,58.0,0,0
256,14,138.0,1,0
266,27,126.0,1,0
267,27,49.0,0,0
268,3,101.0,1,1
275,29,167.0,0,0
287,15,14.0,1,1
288,12,69.0,0,0
290,19,4.0,0,0
292,4,158.0,1,0
299,2,151.0,0,0
304,10,34.0,0,0
310,9,103.0,0,0
312,5,68.0,0,0
320,26,55.0,1,0
328,7,24.0,1,0
330,6,86.0,1,0
333,3,44.0,0,0
338,23,130.0,0,0
347,26,165.0,1,1
352,27,176.0,1,0
354,1,167.0,0,0
357,7,9.0,1,0
359,25,79.0,1,0
366,12,168.0,1,1
369,5,72.0,0,0
377,21,139.0,0,0
379,5,9.0,1,1
384,21,121.0,1,0
385,26,15.0,0,0
395,1,143.0,0,0
399,22,57.0,0,0
403,11,16.0,0,0
405,27,87.0,1,0
425,11,39.0,0,0
426,7,134.0,1,1
430,13,153.0,0,0
433,22,149.0,0,0
435,9,65.0,0,0
440,5,167.0,0,0
442,24,64.0,0,0
449,16,42.0,0,0
463,24,32.0,0,0
478,3,149.0,1,0
481,11,11.0,1,0
487,10,0.0,0,0
488,28,3.0,0,0
493,29,95.0,0,0
498,7,155.0,1,0
502,28,21.0,0,0
509,16,76.0,1,0
523,4,113.0,0,0
524,24,97.0,1,0
525,9,117.0,1,0
535,9,42.0,1,0
537,29,114.0,0,0
540,15,136.0,0,0
541,22,172.0,0,0
547,16,62.0,1,0
552,9,112.0,1,0
558,20,78.0,0,0
561,5,112.0,0,0
570,22,61.0,0,0
579,6,95.0,1,0
580,27,51.0,0,0
586,29,146.0,1,0
587,2,52.0,0,0
597,18,107.0,1,0
603,9,107.0,0,0
604,8,141.0,1,0
606,13,104.0,1,0
609,15,78.0,1,0
610,9,113.0,1,0
620,5,79.0,0,0
626,21,44.0,1,1
639,28,12.0,1,1
644,14,8.0,1,0
649,1,83.0,1,0
656,3,117.0,1,1
659,17,106.0,0,0
666,14,125.0,0,0
673,7,166.0,1,1
678,23,16.0,1,1
679,28,59.0,1,0
681,21,70.0,0,0
682,2,14.0,0,0
697,21,7.0,0,0
698,24,30.0,0,0
699,25,178.0,0,0
702,1,125.0,1,0
703,14,12.0,0,0
705,14,126.0,0,0
708,14,92.0,1,1
709,7,110.0,0,0
711,8,71.0,1,0
712,16,5.0,0,0
713,23,124.0,1,0
719,4,169.0,1,0
723,27,128.0,0,0
725,21,112.0,1,0
733,14,52.0,1,0
736,3,73.0,0,0
739,15,125.0,0,0
746,19,171.0,1,1
747,0,68.0,1,0
752,2,75.0,0,0
755,10,91.0,1,0
758,15,15.0,1,0
764,5,169.0,1,1
766,24,175.0,0,0
772,27,8.0,1,0
776,15,78.0,0,0
778,11,13.0,1,0
787,7,167.0,1,1
788,1,78.0,0,0
791,8,70.0,1,0
802,26,58.0,1,0
805,16,61.0,0,0
810,11,6.0,0,0
812,29,102.0,1,0
813,5,79.0,1,1
821,13,166.0,0,0
827,27,151.0,0,0
828,17,155.0,0,0
835,3,174.0,1,0
837,19,155.0,1,0
847,0,97.0,0,0
860,12,59.0,0,0
868,28,60.0,1,0
870,17,55.0,0,0
872,19,164.0,1,0
874,13,30.0,1,1
878,9,21.0,0,0
885,13,128.0,0,0
894,8,66.0,0,0
895,29,147.0,1,0
896,21,53.0,0,0
902,29,165.0,0,0
903,16,109.0,0,0
904,12,51.0,1,0
910,27,105.0,0,0
923,11,137.0,0,0
927,27,144.0,1,1
934,8,122.0,0,0
935,0,20.0,0,0
940,15,174.0,0,0
942,25,93.0,0,0
943,22,115.0,1,1
952,24,10.0,1,0
953,29,64.0,0,0
954,5,116.0,0,0
955,18,80.0,0,0
956,7,38.0,1,1
959,9,91.0,1,1
960,12,48.0,0,0
972,22,160.0,0,0
976,15,87.0,1,1
977,6,166.0,0,0
981,26,167.0,1,1
989,10,42.0,0,0
991,12,95.0,0,0
993,29,151.0,0,0
997,1,104.0,1,0
998,27,63.0,1,0
1000,24,39.0,0,0
1001,27,16.0,0,0
1011,24,21.0,0,0
1012,8,59.0,1,0
1025,24,90.0,0,0
1029,1,82.0,0,0
1030,28,102.0,0,0
1040,24,37.0,1,0
1041,5,152.0,1,1
1043,12,13.0,1,1
1050,26,2.0,0,0
1052,4,175.0,0,0
1054,11,152.0,0,0
1059,17,177.0,1,0
1060,3,108.0,0,0
1068,20,163.0,1,0
1070,11,95.0,1,0
1071,11,124.0,0,0
1072,22,72.0,1,1
1073,26,161.0,0,0
1075,20,50.0,0,0
1078,8,15.0,0,0
1079,24,142.0,1,0
1083,10,5.0,0,0
1084,4,168.0,1,0
1085,24,103.0,1,1
1090,8,112.0,0,0
1097,7,129.0,1,0
1098,4,66.0,0,0
1100,4,76.0,1,0
1101,10,149.0,0,0
1102,10,61.0,0,0
1107,4,142.0,1,1
1112,24,6.0,0,0
1118,23,152.0,0,0
1123,13,67.0,0,0
1125,15,96.0,0,0
1126,1,43.0,1,0
1127,19,170.0,0,0
1128,8,89.0,1,1
1146,19,168.0,1,0
1159,2,172.0,1,0
1161,0,73.0,0,0
1166,26,96.0,1,0
1169,0,158.0,1,0
1170,1,153.0,0,0
1185,17,80.0,1,0
1190,3,168.0,1,0
1201,28,128.0,1,0
1202,18,82.0,1,0
1212,6,78.0,0,0
1213,15,117.0,0,0
1214,29,127.0,1,0
1215,16,168.0,1,0
1219,28,111.0,0,0
1228,10,81.0,0,0
1232,20,100.0,0,0
1233,14,124.0,0,0
1236,4,11.0,0,0
1239,15,65.0,0,0
1240,14,58.0,1,1
1241,5,81.0,0,0
1244,6,163.0,1,0
1251,20,44.0,0,0
1252,12,68.0,1,1
1256,3,5.0,0,0
1259,16,37.0,1,0
1261,7,122.0,0,0
1262,8,154.0,0,0
1267,27,90.0,1,0
1271,23,172.0,0,0
1272,11,160.0,0,0
1274,25,132.0,1,0
1275,4,72.0,1,0
1280,21,157.0,1,0
1281,17,161.0,1,1
1283,27,68.0,1,0
1289,27,173.0,0,0
1290,10,128.0,0,0
1291,18,111.0,1,0
1292,28,71.0,0,0
1295,18,30.0,0,0
1297,23,96.0,0,0
1299,19,174.0,0,0
1301,15,49.0,0,0
1302,6,146.0,1,1
1307,23,8.0,1,0
1309,28,6.0,0,0
1310,12,44.0,0,0
1318,21,161.0,0,0
1327,13,174.0,1,0
1329,21,112.0,0,0
1334,1,178.0,0,0
1339,6,129.0,1,1
1345,29,136.0,0,0
1350,18,96.0,1,1
1352,17,60.0,0,0
1354,29,34.0,0,0
1356,29,179.0,0,0
1358,14,67.0,0,0
1360,6,155.0,0,0
1365,7,16.0,1,0
1366,5,61.0,1,0
1370,10,116.0,1,0
1381,7,99.0,1,0
1411,13,147.0,1,0
1414,17,64.0,1,1
1420,25,52.0,1,0
1424,13,63.0,0,0
1426,10,156.0,0,0
1427,22,96.0,1,1
1432,20,109.0,1,0
1433,26,57.0,0,0
1434,27,54.0,1,1
1436,10,25.0,0,0
1441,24,82.0,1,0
1443,28,142.0,0,0
1449,25,176.0,1,0
1459,24,37.0,1,1
1462,10,61.0,1,0
1465,11,151.0,1,1
1467,1,68.0,0,0
1471,11,167.0,1,0
1481,15,107.0,1,0
1482,23,13.0,0,0
1490,12,126.0,0,0
1493,29,46.0,1,0
1505,26,58.0,0,0
1507,19,107.0,0,0
1516,16,42.0,1,0
1521,20,149.0,1,0
1525,2,90.0,1,0
1533,22,122.0,1,0
1535,27,35.0,1,0
1540,14,78.0,1,0
1547,25,168.0,1,1
1552,18,69.0,0,0
1555,29,108.0,0,0
1558,19,139.0,0,0
1561,14,173.0,0,0
1571,7,52.0,0,0
1573,8,99.0,0,0
1575,13,29.0,1,0
1580,5,171.0,1,0
1581,26,64.0,0,0
1589,23,98.0,0,0
1597,18,13.0,0,0
1600,24,86.0,1,0
1611,16,149.0,0,0
1617,3,31.0,1,0
1621,3,157.0,1,0
1627,13,57.0,0,0
1645,15,87.0,1,1
1650,20,96.0,0,0
1656,6,6.0,0,0
1668,22,142.0,0,0
1670,2,18.0,0,0
1673,26,78.0,1,0
1676,3,34.0,1,0
1677,12,149.0,0,0
1680,21,130.0,0,0
1685,13,113.0,0,0
1689,22,11.0,0,0
1692,14,15.0,1,1
1693,21,99.0,0,0
1701,14,144.0,0,0
1702,15,61.0,0,0
1711,9,84.0,1,1
1713,20,132.0,1,0
1716,29,62.0,0,0
1717,3,78.0,0,0
1732,23,76.0,0,0
1739,1,114.0,0,0
1744,13,166.0,0,0
1748,23,162.0,0,0
1749,16,121.0,0,0
1764,6,152.0,0,0
1767,25,99.0,1,0
1770,17,37.0,1,0
1773,25,93.0,0,0
1774,29,132.0,0,0
1776,6,33.0,1,0
1781,11,131.0,0,0
1783,19,19.0,1,0
1786,15,108.0,1,0
1789,25,115.0,1,0
1791,6,76.0,1,0
1792,28,163.0,0,0
1793,9,38.0,0,0
1804,1,132.0,0,0
1813,10,119.0,0,0
1817,17,123.0,0,0
1821,8,77.0,0,0
1822,28,114.0,0,0
1825,13,122.0,0,0
1828,18,158.0,0,0
1835,12,87.0,1,0
1838,15,0.0,0,0
1840,7,21.0,1,0
1842,1,16.0,1,0
1856,6,160.0,0,0
1860,0,145.0,0,0
1864,0,169.0,0,0
1866,26,93.0,1,0
1872,27,106.0,0,0
1876,1,122.0,0,0
1878,16,55.0,1,0
1881,25,16.0,1,1
1882,18,156.0,0,0
1883,2,149.0,0,0
1885,23,170.0,1,0
1890,12,63.0,1,1
1891,12,119.0,0,0
1897,23,90.0,0,0
1904,21,55.0,0,0
1905,14,99.0,1,0
1908,14,171.0,1,0
1917,26,79.0,1,0
1920,29,106.0,1,0
1924,15,71.0,0,0
1927,1,37.0,1,0
1929,1,9.0,1,1
1930,25,131.0,1,0
1938,6,132.0,0,0
1940,19,94.0,0,0
1946,22,51.0,0,0
1948,20,48.0,1,1
1949,8,164.0,0,0
1952,14,58.0,1,1
1953,24,162.0,0,0
1955,2,102.0,1,0
1959,22,108.0,0,0
1964,0,28.0,0,0
1965,8,90.0,0,0
1971,15,83.0,1,1
1972,28,20.0,1,0
1975,26,179.0,0,0
1977,3,39.0,0,0
1979,18,82.0,0,0
1980,6,101.0,0,0
1982,6,60.0,1,0
1985,8,62.0,0,0
1989,13,105.0,0,0
2004,13,96.0,0,0
2008,19,134.0,1,0
2010,0,150.0,1,0
2013,17,11.0,0,0
2024,20,96.0,0,0
2026,19,97.0,1,0
2033,27,82.0,1,0
2037,26,95.0,0,0
2044,6,174.0,1,1
2047,3,36.0,0,0
2061,24,135.0,0,0
2062,15,171.0,1,0
2063,25,126.0,0,0
2064,29,177.0,1,0
2066,2,24.0,1,1
2069,7,154.0,0,0
2070,15,98.0,0,0
2071,23,98.0,1,0
2075,20,114.0,0,0
2080,2,154.0,0,0
2083,8,172.0,1,0
2090,28,58.0,0,0
2096,0,126.0,1,0
2105,27,38.0,1,0
2108,20,13.0,0,0
2111,15,176.0,0,0
2112,29,138.0,0,0
2117,22,29.0,1,1
2122,6,177.0,1,0
2125,15,14.0,0,0
2131,24,54.0,1,1
2149,19,84.0,1,0
2151,19,100.0,1,0
2157,21,166.0,0,0
2159,13,101.0,0,0
2160,16,72.0,0,0
2161,13,145.0,1,0
2166,8,165.0,1,0
2167,26,108.0,0,0
2168,1,32.0,1,0
2170,27,171.0,0,0
2175,29,8.0,0,0
2177,6,116.0,1,1
2180,4,49.0,0,0
2181,29,82.0,1,0
2182,22,63.0,1,1
2183,1,164.0,0,0
2184,9,115.0,0,0
2185,4,102.0,0,0
2186,25,41.0,0,0
2187,0,16.0,1,0
2196,27,7.0,0,0
2204,8,173.0,0,0
2213,3,141.0,0,0
2221,25,24.0,0,0
2225,17,141.0,0,0
2226,1,149.0,1,0
2230,17,23.0,0,0
2232,1,64.0,0,0
2235,7,32.0,1,1
2244,10,99.0,0,0
2247,5,17.0,0,0
2257,18,124.0,1,0
2263,7,175.0,0,0
2276,11,78.0,1,0
2278,19,145.0,1,0
2279,29,120.0,1,0
2282,25,78.0,1,0
2285,19,61.0,0,0
2287,25,89.0,0,0
2288,8,24.0,1,1
2289,10,50.0,0,0
2291,15,56.0,1,0
2295,17,144.0,0,0
2299,9,119.0,1,0
2300,15,46.0,1,0
2301,24,82.0,1,0
2308,14,40.0,1,0
2312,5,139.0,1,0
2324,21,157.0,0,0
2325,22,46.0,1,0
2330,14,1.0,0,0
2331,11,37.0,0,0
2334,16,75.0,1,0
2340,21,101.0,1,0
2347,11,135.0,0,0
2349,5,141.0,0,0
2350,29,104.0,1,0
2354,25,113.0,1,0
2358,4,21.0,0,0
2361,4,99.0,0,0
2363,22,163.0,0,0
2364,18,62.0,0,0
2382,25,18.0,0,0
2388,29,28.0,1,0
2394,19,8.0,0,0
2397,21,3.0,0,0
2400,20,80.0,0,0
2406,4,153.0,0,0
2412,4,83.0,0,0
2418,9,61.0,1,0
2420,22,159.0,0,0
2421,8,122.0,1,0
2427,24,26.0,1,0
2429,13,134.0,0,0
2434,16,131.0,0,0
2448,8,37.0,1,1
2449,29,36.0,0,0
2456,13,173.0,0,0
2463,16,168.0,0,0
2470,23,94.0,1,0
2475,29,166.0,1,0
2484,5,124.0,0,0
2486,20,165.0,1,0
2494,19,114.0,0,0
2501,11,87.0,0,0
2506,3,42.0,1,0
2514,7,34.0,0,0
2516,26,139.0,1,1
2518,21,115.0,0,0
2520,0,121.0,1,0
2522,4,121.0,0,0
2524,5,133.0,0,0
2526,14,165.0,1,0
2530,29,134.0,1,1
2531,5,179.0,0,0
2534,6,26.0,0,0
2535,18,121.0,0,0
2545,26,169.0,1,0
2554,19,89.0,1,0
2565,24,131.0,1,0
2568,19,118.0,1,0
2570,24,118.0,0,0
2571,6,177.0,1,0
2572,1,176.0,0,0
2574,17,149.0,1,1
2581,8,26.0,1,0
