pid,day_offset,status,sms_seq
1,30,delivered,1
1,60,delivered,2
1,90,delivered,3
2,30,opted_out,1
2,60,opted_out,2
2,90,opted_out,3
3,30,delivered,1
3,60,delivered,2
3,90,delivered,3
6,30,delivered,1
6,60,delivered,2
6,90,delivered,3
9,30,opted_out,1
9,60,opted_out,2
9,90,opted_out,3
12,30,opted_out,1
12,60,opted_out,2
12,90,opted_out,3
13,30,delivered,1
13,60,delivered,2
13,90,delivered,3
14,30,opted_out,1
14,60,opted_out,2
14,90,opted_out,3
15,30,delivered,1
15,60,delivered,2
15,90,opted_out,3
17,30,delivered,1
17,60,delivered,2
17,90,delivered,3
18,30,delivered,1
18,60,delivered,2
18,90,delivered,3
25,30,delivered,1
25,60,delivered,2
25,90,delivered,3
26,30,delivered,1
26,60,delivered,2
26,90,delivered,3
27,30,opted_out,1
27,60,opted_out,2
27,90,opted_out,3
28,30,opted_out,1
28,60,opted_out,2
28,90,opted_out,3
29,30,delivered,1
29,60,delivered,2
29,90,delivered,3
30,30,delivered,1
30,60,delivered,2
30,90,delivered,3
31,30,delivered,1
31,60,opted_out,2
31,90,opted_out,3
33,30,delivered,1
33,60,delivered,2
33,90,delivered,3
34,30,delivered,1
34,60,opted_out,2
34,90,opted_out,3
36,30,delivered,1
36,60,delivered,2
36,90,delivered,3
37,30,delivered,1
37,60,delivered,2
37,90,delivered,3
38,30,delivered,1
38,60,opted_out,2
38,90,opted_out,3
41,30,delivered,1
41,60,delivered,2
41,90,delivered,3
47,30,delivered,1
47,60,opted_out,2
47,90,opted_out,3
48,30,delivered,1
48,60,opted_out,2
48,90,opted_out,3
49,30,delivered,1
49,60,delivered,2
49,90,opted_out,3
50,30,opted_out,1
50,60,opted_out,2
50,90,opted_out,3
52,30,delivered,1
52,60,delivered,2
52,90,delivered,3
53,30,delivered,1
53,60,delivered,2
53,90,delivered,3
55,30,delivered,1
55,60,delivered,2
55,90,delivered,3
56,30,delivered,1
56,60,opted_out,2
56,90,opted_out,3
57,30,delivered,1
57,60,delivered,2
57,90,delivered,3
58,30,delivered,1
58,60,opted_out,2
58,90,opted_out,3
59,30,delivered,1
59,60,delivered,2
59,90,delivered,3
60,30,delivered,1
60,60,delivered,2
60,90,delivered,3
62,30,delivered,1
62,60,delivered,2
62,90,delivered,3
64,30,delivered,1
64,60,delivered,2
64,90,delivered,3
65,30,delivered,1
65,60,delivered,2
65,90,delivered,3
66,30,delivered,1
66,60,delivered,2
66,90,delivered,3
69,30,opted_out,1
69,60,opted_out,2
69,90,opted_out,3
71,30,delivered,1
71,60,opted_out,2
71,90,opted_out,3
74,30,delivered,1
74,60,delivered,2
74,90,delivered,3
75,30,delivered,1
75,60,delivered,2
75,90,delivered,3
76,30,delivered,1
76,60,delivered,2
76,90,delivered,3
78,30,delivered,1
78,60,delivered,2
78,90,delivered,3
79,30,delivered,1
79,60,opted_out,2
79,90,opted_out,3
81,30,delivered,1
81,60,delivered,2
81,90,delivered,3
83,30,delivered,1
83,60,delivered,2
83,90,delivered,3
86,30,opted_out,1
86,60,opted_out,2
86,90,opted_out,3
87,30,delivered,1
87,60,delivered,2
87,90,delivered,3
88,30,opted_out,1
88,60,opted_out,2
88,90,opted_out,3
90,30,delivered,1
90,60,delivered,2
90,90,opted_out,3
94,30,delivered,1
94,60,delivered,2
94,90,delivered,3
95,30,delivered,1
95,60,delivered,2
95,90,opted_out,3
96,30,delivered,1
96,60,delivered,2
96,90,delivered,3
97,30,delivered,1
97,60,opted_out,2
97,90,opted_out,3
98,30,delivered,1
98,60,delivered,2
98,90,delivered,3
99,30,delivered,1
99,60,delivered,2
99,90,delivered,3
101,30,delivered,1
101,60,delivered,2
101,90,delivered,3
102,30,delivered,1
102,60,delivered,2
102,90,opted_out,3
103,30,delivered,1
103,60,delivered,2
103,90,delivered,3
107,30,delivered,1
107,60,delivered,2
107,90,delivered,3
110,30,delivered,1
110,60,delivered,2
110,90,delivered,3
111,30,delivered,1
111,60,delivered,2
111,90,delivered,3
113,30,delivered,1
113,60,delivered,2
113,90,delivered,3
114,30,delivered,1
114,60,delivered,2
114,90,delivered,3
115,30,delivered,1
115,60,delivered,2
115,90,delivered,3
117,30,delivered,1
117,60,delivered,2
117,90,delivered,3
121,30,opted_out,1
121,60,opted_out,2
121,90,opted_out,3
122,30,opted_out,1
122,60,opted_out,2
122,90,opted_out,3
128,30,opted_out,1
128,60,opted_out,2
128,90,opted_out,3
129,30,opted_out,1
129,60,opted_out,2
129,90,opted_out,3
130,30,delivered,1
130,60,delivered,2
130,90,delivered,3
131,30,delivered,1
131,60,delivered,2
131,90,delivered,3
132,30,delivered,1
132,60,delivered,2
132,90,delivered,3
133,30,delivered,1
133,60,delivered,2
133,90,delivered,3
134,30,delivered,1
134,60,delivered,2
134,90,delivered,3
135,30,delivered,1
135,60,delivered,2
135,90,delivered,3
140,30,delivered,1
140,60,opted_out,2
140,90,opted_out,3
141,30,delivered,1
141,60,delivered,2
141,90,delivered,3
142,30,delivered,1
142,60,delivered,2
142,90,delivered,3
143,30,delivered,1
143,60,delivered,2
143,90,delivered,3
146,30,delivered,1
146,60,delivered,2
146,90,delivered,3
148,30,delivered,1
148,60,delivered,2
148,90,delivered,3
149,30,delivered,1
149,60,delivered,2
149,90,delivered,3
154,30,delivered,1
154,60,delivered,2
154,90,delivered,3
157,30,opted_out,1
157,60,opted_out,2
157,90,opted_out,3
158,30,delivered,1
158,60,delivered,2
158,90,delivered,3
160,30,delivered,1
160,60,delivered,2
160,90,delivered,3
162,30,delivered,1
162,60,delivered,2
162,90,delivered,3
163,30,delivered,1
163,60,delivered,2
163,90,delivered,3
166,30,delivered,1
166,60,delivered,2
166,90,delivered,3
167,30,delivered,1
167,60,delivered,2
167,90,delivered,3
168,30,delivered,1
168,60,delivered,2
168,90,delivered,3
170,30,opted_out,1
170,60,opted_out,2
170,90,opted_out,3
171,30,delivered,1
171,60,delivered,2
171,90,delivered,3
172,30,delivered,1
172,60,delivered,2
172,90,opted_out,3
