pid,app_active,survey,followup,registration,sms,quiz,reengagement
1,True,False,False,False,True,False,False
2,True,False,False,False,True,False,False
3,True,False,False,True,True,False,False
4,True,True,True,True,False,True,False
5,True,False,True,False,False,False,False
6,False,False,False,False,True,False,True
7,True,False,False,True,False,False,True
8,True,False,False,False,False,False,False
9,True,False,False,False,True,False,False
10,True,False,False,False,False,False,False
11,True,False,False,False,False,False,False
12,True,False,False,False,True,False,False
13,True,False,False,False,True,False,False
14,True,False,False,True,True,False,False
15,True,True,False,True,True,False,False
16,True,False,False,False,False,False,False
17,True,False,True,False,True,False,False
18,True,False,False,False,True,False,True
19,True,False,False,False,False,False,False
20,True,False,False,False,False,False,False
21,True,False,False,False,False,False,False
22,True,False,False,False,False,False,True
23,False,False,False,False,False,False,False
24,True,False,False,False,False,False,False
25,True,False,False,False,True,False,False
26,True,False,False,False,True,False,False
27,True,False,False,False,True,False,False
28,True,False,False,False,True,False,False
29,True,False,False,False,True,False,False
30,True,False,False,False,True,False,True
31,True,False,False,False,True,False,True
32,False,False,False,False,False,False,False
33,True,False,True,False,True,False,True
34,True,False,False,False,True,False,True
35,True,True,False,True,False,False,True
36,True,False,False,True,True,False,True
37,True,False,False,True,True,False,False
38,True,False,False,False,True,False,False
39,True,False,False,False,False,False,False
40,True,False,True,False,False,False,False
41,True,False,False,False,True,True,False
42,True,False,False,False,False,False,True
43,True,False,False,False,False,False,False
44,True,False,False,True,False,False,False
45,True,False,False,False,False,False,False
46,True,False,False,True,False,False,True
47,True,False,False,False,True,False,False
48,True,False,False,True,True,False,False
49,True,False,False,False,True,False,False
50,True,False,False,False,True,False,False
51,True,False,False,False,False,False,False
52,True,False,False,False,True,False,False
53,True,False,False,False,True,False,False
54,True,False,False,True,False,False,False
55,True,False,False,False,True,False,False
56,True,False,False,False,True,False,False
57,True,False,False,True,True,False,False
58,True,False,False,True,True,False,False
59,True,False,False,False,True,False,True
60,True,False,False,False,True,True,False
61,True,False,False,True,False,False,False
62,True,False,False,False,True,False,False
63,True,False,False,False,False,False,False
64,True,False,False,True,True,False,True
65,True,False,False,False,True,False,False
66,True,False,False,False,True,False,True
67,True,False,False,False,False,False,False
68,True,False,False,True,False,False,False
69,True,False,False,True,True,False,True
70,True,False,True,False,False,True,False
71,True,False,True,False,True,False,True
72,True,False,False,False,False,False,True
73,True,False,False,True,False,False,False
74,True,False,False,False,True,False,False
75,True,False,False,True,True,False,False
76,True,False,False,False,True,False,True
77,True,True,True,True,False,True,False
78,True,False,False,True,True,False,True
79,True,False,True,False,True,False,False
80,True,False,True,False,False,False,False
81,True,False,False,False,True,False,False
82,True,False,False,False,False,False,False
83,True,False,False,False,True,False,False
84,True,False,False,True,False,False,False
85,True,False,False,False,False,False,False
86,True,False,False,False,True,False,False
87,True,False,False,False,True,False,False
88,True,False,True,False,True,False,False
89,True,False,False,True,False,False,False
90,True,False,False,True,True,False,False
91,True,False,False,False,False,False,False
92,True,False,False,False,False,False,False
93,True,False,False,False,False,False,False
94,True,False,True,False,True,False,False
95,True,True,False,True,True,False,False
96,True,False,False,False,True,False,False
97,True,False,False,False,True,False,False
98,True,False,True,False,True,False,False
99,True,False,False,False,True,False,False
100,False,False,False,False,False,False,False
101,True,False,False,False,True,False,False
102,True,False,False,False,True,False,False
103,True,False,False,False,True,True,False
104,False,False,False,False,False,False,False
105,True,False,False,False,False,True,False
106,True,True,False,True,False,False,False
107,True,False,False,True,True,False,False
108,True,False,False,False,False,False,False
109,True,False,False,False,False,False,True
110,True,False,False,True,True,False,False
111,True,False,False,False,True,False,False
112,True,False,False,True,False,False,False
113,True,False,False,False,True,False,False
114,True,False,False,True,True,False,False
115,True,False,True,True,True,False,False
116,True,False,False,False,False,False,True
117,True,False,False,True,True,False,True
118,True,False,False,False,False,False,False
119,True,False,False,False,False,False,False
120,True,False,False,False,False,False,False
121,True,False,False,True,True,False,False
122,True,False,False,True,True,True,True
123,True,False,True,False,False,False,False
124,True,False,False,False,False,False,False
125,True,False,False,False,False,False,False
126,True,False,False,False,False,False,True
127,True,False,False,True,False,False,False
128,True,False,False,True,True,False,False
129,True,False,False,True,True,False,False
130,True,False,False,True,True,False,False
131,True,False,True,False,True,False,False
132,True,False,False,True,True,False,False
133,True,False,False,False,True,False,False
134,True,False,False,True,True,False,False
135,True,False,False,False,True,False,False
136,True,False,False,False,False,False,False
137,True,False,False,True,False,False,False
