pid,segment,cluster
1,High engagers,0
2,Moderate,1
3,High engagers,0
4,High engagers,0
5,High engagers,0
7,Moderate,1
8,High engagers,0
9,High engagers,0
10,Moderate,1
11,Passive,2
12,High engagers,0
13,Passive,2
14,Passive,2
15,Moderate,1
16,Moderate,1
17,High engagers,0
18,Moderate,1
19,Passive,2
20,High engagers,0
21,Passive,2
22,Passive,2
24,High engagers,0
25,Moderate,1
26,Passive,2
27,Moderate,1
28,High engagers,0
29,Moderate,1
30,High engagers,0
31,Moderate,1
33,High engagers,0
34,Passive,2
35,Moderate,1
36,High engagers,0
37,Passive,2
38,Moderate,1
39,High engagers,0
40,Passive,2
41,High engagers,0
42,Passive,2
43,High engagers,0
44,Passive,2
45,High engagers,0
46,Moderate,1
47,High engagers,0
48,High engagers,0
49,Passive,2
50,Passive,2
51,Moderate,1
52,High engagers,0
53,Moderate,1
54,Moderate,1
55,Moderate,1
56,Passive,2
57,Passive,2
58,High engagers,0
59,High engagers,0
60,High engagers,0
61,Moderate,1
62,High engagers,0
63,High engagers,0
64,High engagers,0
65,High engagers,0
66,Moderate,1
67,Passive,2
68,Moderate,1
69,High engagers,0
70,High engagers,0
71,High engagers,0
72,Moderate,1
73,Moderate,1
74,Moderate,1
75,Moderate,1
76,Passive,2
77,Passive,2
78,Moderate,1
79,High engagers,0
80,Moderate,1
81,Moderate,1
82,Passive,2
83,High engagers,0
84,Passive,2
85,Passive,2
86,Moderate,1
87,Moderate,1
88,High engagers,0
89,Moderate,1
90,High engagers,0
91,High engagers,0
92,High engagers,0
93,High engagers,0
94,High engagers,0
95,Moderate,1
96,Moderate,1
97,Moderate,1
98,High engagers,0
99,High engagers,0
101,Moderate,1
102,High engagers,0
103,High engagers,0
105,Passive,2
106,Moderate,1
107,Moderate,1
108,High engagers,0
109,High engagers,0
110,High engagers,0
111,High engagers,0
112,High engagers,0
113,Passive,2
114,Passive,2
115,Passive,2
116,Moderate,1
117,High engagers,0
118,Moderate,1
119,Moderate,1
120,Moderate,1
121,High engagers,0
122,High engagers,0
123,Moderate,1
124,High engagers,0
125,Passive,2
126,High engagers,0
127,Passive,2
128,High engagers,0
129,Moderate,1
130,High engagers,0
131,High engagers,0
132,High engagers,0
133,High engagers,0
134,Passive,2
135,High engagers,0
136,High engagers,0
137,Passive,2
138,High engagers,0
139,High engagers,0
140,High engagers,0
141,Passive,2
142,Passive,2
143,High engagers,0
144,Moderate,1
145,Passive,2
146,Passive,2
147,Moderate,1
148,Moderate,1
149,Passive,2
150,High engagers,0
151,High engagers,0
152,Passive,2
153,High engagers,0
154,Passive,2
155,Moderate,1
156,Moderate,1
157,Passive,2
158,High engagers,0
159,Passive,2
160,High engagers,0
161,Moderate,1
162,High engagers,0
163,Moderate,1
164,Moderate,1
165,Passive,2
166,Moderate,1
167,Passive,2
168,Passive,2
169,High engagers,0
171,High engagers,0
172,Passive,2
173,Passive,2
174,Passive,2
175,Passive,2
176,Moderate,1
177,Passive,2
179,Moderate,1
180,Moderate,1
181,Moderate,1
182,High engagers,0
183,Passive,2
184,Moderate,1
185,High engagers,0
186,High engagers,0
187,High engagers,0
188,Moderate,1
189,High engagers,0
190,High engagers,0
191,Passive,2
192,High engagers,0
193,High engagers,0
194,High engagers,0
195,Moderate,1
196,High engagers,0
197,Passive,2
198,Passive,2
199,Moderate,1
200,Passive,2
201,High engagers,0
203,High engagers,0
204,High engagers,0
205,Moderate,1
206,Moderate,1
207,High engagers,0
208,High engagers,0
209,Moderate,1
210,High engagers,0
211,High engagers,0
212,Moderate,1
213,High engagers,0
214,Moderate,1
215,High engagers,0
216,Passive,2
217,Passive,2
218,Moderate,1
219,Passive,2
220,Passive,2
221,Moderate,1
222,Moderate,1
223,High engagers,0
225,Moderate,1
226,High engagers,0
227,High engagers,0
228,Passive,2
229,High engagers,0
230,Passive,2
231,Moderate,1
232,Passive,2
234,High engagers,0
235,Passive,2
236,Passive,2
237,Moderate,1
238,Moderate,1
239,High engagers,0
240,High engagers,0
241,Moderate,1
242,High engagers,0
243,Passive,2
244,High engagers,0
245,High engagers,0
246,Moderate,1
247,Moderate,1
248,Passive,2
249,Moderate,1
250,Passive,2
251,High engagers,0
252,Moderate,1
253,High engagers,0
254,High engagers,0
255,Moderate,1
256,Moderate,1
257,High engagers,0
258,Moderate,1
259,High engagers,0
260,Moderate,1
261,Moderate,1
262,Passive,2
263,High engagers,0
264,Passive,2
265,Moderate,1
266,Passive,2
267,Moderate,1
268,High engagers,0
269,Passive,2
270,High engagers,0
271,Moderate,1
272,High engagers,0
273,Moderate,1
274,Passive,2
275,High engagers,0
276,Passive,2
277,Moderate,1
278,Passive,2
279,Passive,2
280,Moderate,1
281,Passive,2
282,Passive,2
283,High engagers,0
284,High engagers,0
285,Passive,2
286,High engagers,0
287,High engagers,0
288,High engagers,0
289,High engagers,0
290,High engagers,0
291,Moderate,1
292,Moderate,1
294,High engagers,0
295,Passive,2
296,High engagers,0
298,High engagers,0
299,Passive,2
300,High engagers,0
301,Passive,2
302,Passive,2
303,High engagers,0
304,Passive,2
305,High engagers,0
306,Moderate,1
307,High engagers,0
308,High engagers,0
309,High engagers,0
310,Passive,2
311,Moderate,1
312,High engagers,0
313,Passive,2
314,High engagers,0
315,Moderate,1
316,Passive,2
317,Moderate,1
318,Passive,2
319,Passive,2
320,High engagers,0
321,High engagers,0
322,Passive,2
323,High engagers,0
324,High engagers,0
325,Passive,2
326,Moderate,1
327,High engagers,0
328,Moderate,1
329,High engagers,0
330,Moderate,1
331,Passive,2
332,High engagers,0
333,Passive,2
334,Moderate,1
335,Moderate,1
336,High engagers,0
337,High engagers,0
338,High engagers,0
339,Passive,2
340,High engagers,0
341,Moderate,1
342,Passive,2
343,High engagers,0
344,High engagers,0
345,Moderate,1
346,Passive,2
347,High engagers,0
348,Moderate,1
349,Passive,2
350,Passive,2
351,High engagers,0
352,Moderate,1
353,High engagers,0
354,High engagers,0
355,Moderate,1
356,High engagers,0
357,Passive,2
358,Passive,2
359,Passive,2
360,High engagers,0
361,High engagers,0
362,Moderate,1
363,High engagers,0
364,Passive,2
365,Passive,2
366,High engagers,0
367,High engagers,0
368,High engagers,0
369,Passive,2
370,Passive,2
371,Moderate,1
372,High engagers,0
373,Moderate,1
374,Passive,2
375,Passive,2
376,Moderate,1
377,Passive,2
378,Passive,2
379,High engagers,0
380,Passive,2
381,Moderate,1
382,Passive,2
383,Moderate,1
384,High engagers,0
385,Passive,2
386,High engagers,0
387,Moderate,1
389,High engagers,0
390,High engagers,0
391,Moderate,1
392,Passive,2
393,High engagers,0
394,Passive,2
395,Moderate,1
396,High engagers,0
397,High engagers,0
398,High engagers,0
399,Moderate,1
400,Moderate,1
401,Moderate,1
402,High engagers,0
403,High engagers,0
404,Passive,2
406,High engagers,0
407,High engagers,0
408,Moderate,1
409,Moderate,1
411,Passive,2
412,High engagers,0
413,Passive,2
414,High engagers,0
415,Passive,2
416,Passive,2
417,High engagers,0
418,Passive,2
419,High engagers,0
420,Passive,2
421,High engagers,0
422,Passive,2
423,High engagers,0
424,Moderate,1
425,Moderate,1
426,Moderate,1
427,Moderate,1
428,High engagers,0
429,High engagers,0
430,Moderate,1
431,Passive,2
432,Passive,2
433,Passive,2
434,High engagers,0
435,Passive,2
436,Moderate,1
437,High engagers,0
438,High engagers,0
439,Passive,2
440,Moderate,1
441,High engagers,0
442,Moderate,1
443,High engagers,0
444,Passive,2
445,High engagers,0
446,High engagers,0
448,Passive,2
449,Moderate,1
450,Moderate,1
451,High engagers,0
452,Passive,2
453,High engagers,0
454,High engagers,0
455,Moderate,1
456,High engagers,0
458,Passive,2
459,High engagers,0
460,Passive,2
461,Moderate,1
462,High engagers,0
463,High engagers,0
464,High engagers,0
465,Moderate,1
466,High engagers,0
467,Passive,2
468,Moderate,1
469,High engagers,0
470,High engagers,0
471,High engagers,0
472,Passive,2
473,Moderate,1
474,High engagers,0
475,Passive,2
476,Passive,2
477,High engagers,0
478,High engagers,0
479,Passive,2
480,High engagers,0
481,High engagers,0
482,Moderate,1
483,High engagers,0
484,Passive,2
485,Moderate,1
486,High engagers,0
487,Passive,2
488,Passive,2
489,High engagers,0
490,Passive,2
491,High engagers,0
492,Passive,2
493,Passive,2
494,Passive,2
495,High engagers,0
496,High engagers,0
497,Passive,2
498,Passive,2
499,High engagers,0
500,Moderate,1
501,High engagers,0
502,High engagers,0
503,Moderate,1
504,High engagers,0
505,Moderate,1
506,Moderate,1
507,High engagers,0
508,Moderate,1
509,Moderate,1
510,High engagers,0
511,Moderate,1
512,Passive,2
513,Moderate,1
514,High engagers,0
515,Moderate,1
516,Moderate,1
517,Moderate,1
518,Passive,2
519,High engagers,0
520,Passive,2
521,High engagers,0
522,Passive,2
523,High engagers,0
524,Passive,2
525,Moderate,1
526,Passive,2
529,High engagers,0
530,High engagers,0
531,Passive,2
532,High engagers,0
533,High engagers,0
534,High engagers,0
535,High engagers,0
536,Moderate,1
537,Moderate,1
538,Passive,2
539,Moderate,1
540,Moderate,1
542,High engagers,0
543,High engagers,0
545,Moderate,1
546,Passive,2
547,Passive,2
548,Moderate,1
549,High engagers,0
550,Moderate,1
551,High engagers,0
552,High engagers,0
553,Passive,2
554,Moderate,1
555,Moderate,1
556,High engagers,0
557,High engagers,0
558,High engagers,0
559,Moderate,1
560,Passive,2
561,High engagers,0
562,High engagers,0
563,Moderate,1
564,Passive,2
565,High engagers,0
566,Moderate,1
567,Passive,2
568,Moderate,1
569,High engagers,0
570,Passive,2
571,Moderate,1
572,High engagers,0
573,High engagers,0
574,Moderate,1
575,Passive,2
576,High engagers,0
577,High engagers,0
578,High engagers,0
579,Moderate,1
580,High engagers,0
581,Moderate,1
582,High engagers,0
583,Passive,2
584,High engagers,0
585,High engagers,0
586,High engagers,0
587,Passive,2
588,Moderate,1
589,Moderate,1
590,Passive,2
591,High engagers,0
592,High engagers,0
593,Passive,2
594,Passive,2
595,High engagers,0
596,Passive,2
597,Passive,2
598,Passive,2
600,High engagers,0
601,High engagers,0
602,Passive,2
603,Moderate,1
604,High engagers,0
605,Passive,2
606,Passive,2
607,Moderate,1
608,High engagers,0
609,Passive,2
610,High engagers,0
611,Moderate,1
612,Moderate,1
613,Moderate,1
615,Moderate,1
616,Moderate,1
617,Moderate,1
618,Moderate,1
619,Passive,2
620,High engagers,0
621,Moderate,1
622,High engagers,0
624,Passive,2
625,Moderate,1
626,Moderate,1
627,Moderate,1
628,Moderate,1
629,High engagers,0
630,Moderate,1
631,High engagers,0
632,Moderate,1
633,High engagers,0
634,Moderate,1
635,Moderate,1
636,Passive,2
637,Passive,2
638,Moderate,1
639,High engagers,0
640,High engagers,0
641,High engagers,0
642,High engagers,0
643,Moderate,1
644,Moderate,1
645,Moderate,1
646,High engagers,0
647,Passive,2
648,High engagers,0
649,Passive,2
650,High engagers,0
651,High engagers,0
652,High engagers,0
653,Moderate,1
654,Passive,2
655,Moderate,1
656,Moderate,1
657,High engagers,0
658,High engagers,0
659,Passive,2
660,Passive,2
661,Passive,2
662,Moderate,1
663,Moderate,1
664,Passive,2
665,High engagers,0
666,Passive,2
667,Moderate,1
669,High engagers,0
670,High engagers,0
671,High engagers,0
672,Passive,2
674,Moderate,1
675,High engagers,0
676,Moderate,1
677,Moderate,1
678,High engagers,0
679,High engagers,0
680,High engagers,0
681,High engagers,0
682,Passive,2
683,High engagers,0
684,Passive,2
685,Moderate,1
686,High engagers,0
687,Moderate,1
689,Passive,2
690,Passive,2
691,Moderate,1
692,High engagers,0
693,High engagers,0
694,High engagers,0
695,High engagers,0
696,Passive,2
697,Moderate,1
698,High engagers,0
699,High engagers,0
700,High engagers,0
701,Moderate,1
702,Moderate,1
703,High engagers,0
704,High engagers,0
705,High engagers,0
706,Moderate,1
707,High engagers,0
708,High engagers,0
709,High engagers,0
710,High engagers,0
712,Moderate,1
713,Moderate,1
714,Passive,2
715,High engagers,0
716,Moderate,1
717,High engagers,0
718,High engagers,0
719,Moderate,1
720,Moderate,1
721,Passive,2
722,Moderate,1
723,High engagers,0
